The Brothers Karamazov, Fyodor Dostoevsky
Crime and Punishment, Fyodor Dostoevsky
The Count of Monte Cristo, Alexandre Dumas
Divine Comedy, Dante Alighieri
Anna Karenina, Leo Tolstoy
Catch-22, Joseph Heller
The Stranger, Albert Camus
Odyssey, Homer
Nineteen Eighty-Four, George Orwell
Adventures of Huckleberry Finn, Mark Twain
The Catcher in the Rye, J. D. Salinger
Iliad, Homer
The Old Man and the Sea, Ernest Hemingway
The Portrait of the Artist as a Young Man, James Joyce
Jane Eyre, Charlotte BrontÃ«
Notes from Underground, Fyodor Dostoevsky
To Kill a Mockingbird, Harper Lee
Slaughterhouse-Five, Kurt Vonnegut
David Copperfield, Charles Dickens
Lord of the Flies, William Golding
"Sophie's World", Jostein Gaarder
The Lord of the Rings, J. R. R. Tolkien
The Setting Sun, Osamu Dazai
Animal Farm, George Orwell
The Great Gatsby, F. Scott Fitzgerald
The Prophet, Kahlil Gibran
Metamorphosis, Franz Kafka
The Adventures of Sherlock Holmes, Arthur Conan Doyle
Alice's Adventures in Wonderland, Lewis Caroll
The Godfather, Mario Puzo
Anthem, Ayn Rand
Norwegian Wood, Haruki Murakami
The Return of Sherlock Holmes, Arthur Conan Doyle
A Christmas Carol, Charles Dickens
The Hobbit, J. R. R. Tolkien
Love Story, Eric Segal
