Anime, Year, Genre(s), Theme(s), Notes
Your Name -Kimi no Na wa-, 2019, "Fantasy, romance", "Memory, love, passage of time",
Suzume -Suzume no Tojimari-, 2022, "Coming-of-age, fantasy, comedy", "Memories, loss of the past",
Grave of the Fireflies -Hotaru no Haka-, 1988, "War, drama", "Grief, tragedy",
Weathering with You -Tenki no Ko-, 2019, "Fantasy, romance", "Power of choice, determination"
Demon Slayer: Kimetsu no Yaiba â€“ The Movie: Mugen Train, 2020, "Action, fantasy", "Humanity, perseverance, death",
"Josee, the Tiger and the Fish", 2020, "Romantic comedy, drama", "Perseverance, chasing dreams",
I Want to Eat Your Pancreas, 2018, "Coming-of-age, romance, drama", "Grief, connection",
The Garden of Words -Kotonoha no Niwa-, 2013, "Romance, drama", "Lonliness, pursuit of passion",
A Silent Voice -Eiga Koe no Katachi-, 2016, "Romance, drama", "Human relationships, connection",
Dragon Ball Super: Broly, 2018, "Action, adventure, fantasy", "Teamwork",
